epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.6165,1.60833,0.90383,1.30209,0.76321,0.67112,0.70334,0.46431,1.34675,0.69344,1.09036,0.000993631,0.000993631,0.000993631
2,94.7123,1.43097,0.77449,1.13316,0.75203,0.69265,0.71641,0.45976,1.46752,0.69728,1.11775,0.00198968,0.00198968,0.00198968
3,141.399,1.39856,0.76374,1.11759,0.77794,0.68491,0.73257,0.48803,1.32861,0.68693,1.07207,0.00298178,0.00298178,0.00298178
4,184.953,1.39205,0.7874,1.11004,0.81402,0.5895,0.6817,0.44957,1.32771,0.74969,1.06923,0.00396991,0.00396991,0.00396991
5,227.618,1.39859,0.78776,1.11996,0.75609,0.66536,0.72147,0.47098,1.35581,0.72386,1.07669,0.00495408,0.00495408,0.00495408
6,270.971,1.40476,0.79169,1.11415,0.76806,0.6705,0.72076,0.44936,1.49879,0.77052,1.11842,0.00593429,0.00593429,0.00593429
7,316.683,1.42061,0.81355,1.11508,0.80778,0.64442,0.69559,0.44271,1.45698,0.75772,1.10681,0.00691055,0.00691055,0.00691055
8,360.461,1.46316,0.86853,1.13218,0.75867,0.61825,0.6706,0.40472,1.49381,0.81458,1.12711,0.00788284,0.00788284,0.00788284
9,404.274,1.47382,0.89234,1.14489,0.7414,0.65074,0.68709,0.42708,1.48044,0.82355,1.10878,0.00885117,0.00885117,0.00885117
