epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,257.259,0.629,0.67264,0.97369,0.6352,0.66942,0.69271,0.52655,0.70306,1.13418,1.07836,0.00079705,0.00079705,0.00079705
43,262.662,0.62104,0.6439,0.95294,0.57246,0.65861,0.63013,0.49277,0.70033,1.27359,1.10686,0.0007921,0.0007921,0.0007921
44,268.126,0.60879,0.69954,0.96133,0.71885,0.75711,0.78597,0.61225,0.65755,0.9622,1.04284,0.00078715,0.00078715,0.00078715
45,274.147,0.58935,0.68779,0.93759,0.66566,0.78623,0.78276,0.60308,0.68379,0.88634,1.05261,0.0007822,0.0007822,0.0007822
46,279.946,0.58104,0.60976,0.94615,0.63715,0.7354,0.76787,0.5894,0.69072,0.98072,1.06893,0.00077725,0.00077725,0.00077725
47,285.874,0.59662,0.62996,0.95081,0.5443,0.6651,0.67684,0.51149,0.71663,1.25286,1.09018,0.0007723,0.0007723,0.0007723
48,292.765,0.60251,0.6572,0.95603,0.52623,0.67047,0.62285,0.46004,0.72357,1.29653,1.12058,0.00076735,0.00076735,0.00076735
49,298.634,0.57045,0.66274,0.95734,0.72593,0.5804,0.69878,0.52143,0.68831,1.06742,1.0731,0.0007624,0.0007624,0.0007624
50,304.173,0.59743,0.63521,0.9484,0.66155,0.74387,0.72652,0.54398,0.71356,1.11044,1.09475,0.00075745,0.00075745,0.00075745
51,309.911,0.5847,0.67319,0.95321,0.60763,0.78633,0.75537,0.56686,0.67394,0.99105,1.07048,0.0007525,0.0007525,0.0007525
52,315.931,0.57212,0.64696,0.93797,0.67474,0.64248,0.71978,0.55378,0.68825,1.08984,1.06395,0.00074755,0.00074755,0.00074755
53,322.491,0.56653,0.57503,0.93921,0.74904,0.72909,0.7977,0.6061,0.65329,0.8881,1.04884,0.0007426,0.0007426,0.0007426
54,328.094,0.58447,0.59853,0.94217,0.65631,0.76076,0.80067,0.61576,0.67793,0.93659,1.06149,0.00073765,0.00073765,0.00073765
55,334.37,0.56661,0.57487,0.93761,0.6918,0.7442,0.78276,0.57101,0.67025,1.1136,1.0739,0.0007327,0.0007327,0.0007327
56,340.311,0.56519,0.57393,0.9337,0.73673,0.74001,0.80735,0.61982,0.6477,0.93014,1.03863,0.00072775,0.00072775,0.00072775
57,346.33,0.5614,0.59016,0.93291,0.72873,0.73348,0.77604,0.61863,0.66026,0.93275,1.03571,0.0007228,0.0007228,0.0007228
