epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5346.26,0.60949,1.66055,1.03404,0.79616,0.74633,0.79355,0.62442,0.54071,1.33669,1.02677,0.00180169,0.00180169,0.00180169
43,5473.56,0.60902,1.69797,1.03856,0.85308,0.71463,0.79074,0.62924,0.53517,1.36687,1.02218,0.00179225,0.00179225,0.00179225
44,5600.57,0.60297,1.66904,1.03039,0.77777,0.7432,0.78272,0.61579,0.54228,1.34776,1.021,0.00178263,0.00178263,0.00178263
45,5732.52,0.60811,1.63164,1.03364,0.78482,0.75157,0.79748,0.6298,0.53713,1.33508,1.0181,0.00177281,0.00177281,0.00177281
46,5859.59,0.60054,1.63509,1.03353,0.84275,0.72253,0.80195,0.64026,0.53576,1.28516,1.02193,0.0017628,0.0017628,0.0017628
47,5986.3,0.59797,1.59657,1.02618,0.80556,0.78024,0.82185,0.65665,0.53159,1.26832,1.01927,0.00175261,0.00175261,0.00175261
48,6113.37,0.59026,1.57947,1.02226,0.83784,0.75512,0.81144,0.63594,0.53431,1.29443,1.02183,0.00174223,0.00174223,0.00174223
49,6240.21,0.59717,1.55637,1.02096,0.85483,0.74076,0.81872,0.65173,0.52906,1.2396,1.01804,0.00173168,0.00173168,0.00173168
50,6365.99,0.59564,1.59147,1.02492,0.86303,0.72764,0.81825,0.64974,0.52865,1.2351,1.01349,0.00172095,0.00172095,0.00172095
51,6490.92,0.59251,1.56197,1.02438,0.84151,0.726,0.81566,0.64996,0.52044,1.23581,1.00768,0.00171004,0.00171004,0.00171004
52,6617.99,0.59086,1.53386,1.01947,0.85711,0.73325,0.82917,0.6667,0.52527,1.19938,1.01679,0.00169895,0.00169895,0.00169895
53,6744.11,0.5842,1.50864,1.01914,0.86941,0.79235,0.84947,0.67613,0.52183,1.21185,1.00331,0.0016877,0.0016877,0.0016877
54,6870.8,0.58847,1.5148,1.01962,0.83454,0.78224,0.82847,0.66248,0.51763,1.21328,0.99781,0.00167628,0.00167628,0.00167628
55,6997.41,0.58509,1.49981,1.01761,0.84625,0.76494,0.83658,0.67192,0.51897,1.19607,1.0066,0.0016647,0.0016647,0.0016647
56,7124.35,0.5805,1.48603,1.01287,0.78992,0.80422,0.83508,0.66252,0.51519,1.17164,0.99875,0.00165295,0.00165295,0.00165295
57,7250.28,0.58495,1.47431,1.0137,0.86717,0.75005,0.84039,0.66317,0.51704,1.18154,1.00213,0.00164105,0.00164105,0.00164105
58,7376.4,0.57909,1.48456,1.01277,0.87263,0.76018,0.85116,0.68114,0.5111,1.18414,0.99892,0.00162899,0.00162899,0.00162899
59,7503.22,0.58623,1.46751,1.01671,0.83763,0.80556,0.84907,0.67796,0.51406,1.1598,0.99538,0.00161678,0.00161678,0.00161678
60,7630.02,0.57712,1.4694,1.01074,0.8514,0.80408,0.85926,0.6808,0.51343,1.16366,0.99321,0.00160442,0.00160442,0.00160442
61,7756.25,0.56617,1.41542,1.0048,0.87698,0.79324,0.85864,0.68876,0.51389,1.14334,0.99796,0.00159191,0.00159191,0.00159191
62,7883.06,0.56789,1.43821,1.00608,0.86293,0.78953,0.8511,0.68157,0.509,1.12379,0.9909,0.00157926,0.00157926,0.00157926
63,8009.79,0.57395,1.41176,1.00417,0.84487,0.78752,0.85096,0.68389,0.50514,1.12356,0.98753,0.00156646,0.00156646,0.00156646
64,8135.68,0.56563,1.40457,1.00144,0.86463,0.80078,0.86503,0.69878,0.50319,1.08231,0.9829,0.00155353,0.00155353,0.00155353
65,8263.18,0.56761,1.3992,0.99867,0.88474,0.8121,0.87743,0.70917,0.50283,1.07604,0.98136,0.00154047,0.00154047,0.00154047
66,8390.77,0.56713,1.38335,1.00071,0.84402,0.83401,0.87369,0.70243,0.50236,1.06924,0.98587,0.00152727,0.00152727,0.00152727
67,8516.97,0.56993,1.38838,1.00541,0.86128,0.80077,0.86315,0.6951,0.50515,1.0697,0.98966,0.00151395,0.00151395,0.00151395
68,8643.34,0.56485,1.37345,1.00049,0.86944,0.80264,0.86423,0.69807,0.50215,1.07844,0.98309,0.0015005,0.0015005,0.0015005
69,8769.3,0.5597,1.34193,0.99951,0.87066,0.81961,0.88001,0.70957,0.50171,1.05361,0.98286,0.00148694,0.00148694,0.00148694
70,8895.96,0.56279,1.33931,0.99356,0.87884,0.81268,0.87596,0.70792,0.49883,1.05507,0.9816,0.00147325,0.00147325,0.00147325
71,9022.38,0.5597,1.34181,0.99564,0.85034,0.83514,0.88042,0.71541,0.50012,1.04142,0.98602,0.00145945,0.00145945,0.00145945
72,9148.49,0.56147,1.34301,0.99751,0.90852,0.79138,0.87636,0.71309,0.49469,1.04741,0.97909,0.00144554,0.00144554,0.00144554
73,9275.35,0.5627,1.33784,0.99745,0.8717,0.81064,0.87668,0.70542,0.49651,1.06195,0.98069,0.00143152,0.00143152,0.00143152
74,9402.26,0.5576,1.35008,0.99801,0.88829,0.83086,0.88538,0.71157,0.49889,1.03194,0.98124,0.0014174,0.0014174,0.0014174
75,9528.34,0.55834,1.33601,0.99607,0.90139,0.8245,0.88539,0.72087,0.49524,1.02069,0.97792,0.00140318,0.00140318,0.00140318
76,9655.15,0.55402,1.31325,0.98853,0.87195,0.83122,0.89354,0.72382,0.4928,1.01709,0.97435,0.00138886,0.00138886,0.00138886
77,9781.95,0.56078,1.3204,0.98862,0.87355,0.82829,0.88526,0.72092,0.49403,0.99387,0.97321,0.00137444,0.00137444,0.00137444
78,9909.64,0.54704,1.2465,0.98619,0.882,0.84017,0.89648,0.72887,0.49195,0.98297,0.96956,0.00135994,0.00135994,0.00135994
79,10037.2,0.55289,1.30204,0.98872,0.90991,0.8149,0.89128,0.72457,0.49059,0.98498,0.96948,0.00134535,0.00134535,0.00134535
80,10163.9,0.54461,1.27062,0.986,0.90613,0.84474,0.9036,0.7335,0.4878,0.97011,0.97139,0.00133068,0.00133068,0.00133068
81,10290,0.5499,1.27011,0.99149,0.90917,0.8318,0.89851,0.73158,0.48672,0.97378,0.97176,0.00131593,0.00131593,0.00131593
82,10416.8,0.54605,1.25037,0.98798,0.88741,0.85343,0.90168,0.73065,0.48207,0.96749,0.97218,0.0013011,0.0013011,0.0013011
83,10543.1,0.54284,1.2322,0.98544,0.89916,0.84545,0.89786,0.72884,0.48278,0.98131,0.96483,0.0012862,0.0012862,0.0012862
