epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9443,1.84301,2.92994,1.35469,0.56257,0.4245,0.43005,0.26548,1.56806,1.53717,1.13519,9.19253e-05,9.19253e-05,9.19253e-05
2,116.431,1.47886,1.46415,1.12678,0.60844,0.45485,0.50796,0.3201,1.42177,1.29711,1.10029,0.000183861,0.000183861,0.000183861
3,172.108,1.43783,1.25703,1.12104,0.65563,0.41086,0.44878,0.254,2.19295,1.37294,1.46516,0.000275063,0.000275063,0.000275063
