epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,631.347,1.32041,0.60659,1.21498,0.91817,0.91162,0.92083,0.63952,1.25003,0.60412,1.23046,0.0005941,0.0005941,0.0005941
43,646.215,1.31197,0.59594,1.21371,0.93502,0.90961,0.93649,0.63164,1.31636,0.59005,1.27345,0.0005842,0.0005842,0.0005842
44,661.199,1.30327,0.58612,1.1974,0.90075,0.89332,0.92315,0.64119,1.27207,0.59315,1.22012,0.0005743,0.0005743,0.0005743
45,676.382,1.29659,0.59733,1.20816,0.88047,0.86853,0.90585,0.60407,1.34242,0.6307,1.28732,0.0005644,0.0005644,0.0005644
46,691.309,1.29473,0.58421,1.19862,0.9129,0.90362,0.92438,0.61521,1.33192,0.64424,1.26538,0.0005545,0.0005545,0.0005545
47,705.803,1.29187,0.58702,1.1986,0.91187,0.90369,0.92251,0.61101,1.3674,0.60483,1.29312,0.0005446,0.0005446,0.0005446
48,719.964,1.30301,0.58972,1.20418,0.87234,0.9157,0.92197,0.62842,1.32547,0.61312,1.26949,0.0005347,0.0005347,0.0005347
49,735.166,1.32838,0.59307,1.20769,0.86367,0.90625,0.91733,0.63222,1.28223,0.61065,1.23049,0.0005248,0.0005248,0.0005248
50,750.072,1.27086,0.57501,1.19071,0.9131,0.89221,0.93185,0.63802,1.29604,0.56716,1.2464,0.0005149,0.0005149,0.0005149
51,764.595,1.27112,0.58401,1.19058,0.87052,0.90528,0.90854,0.57874,1.43724,0.65522,1.33624,0.000505,0.000505,0.000505
52,779.458,1.25937,0.56873,1.18537,0.92181,0.88874,0.91398,0.60671,1.35744,0.61522,1.30571,0.0004951,0.0004951,0.0004951
53,794.568,1.25972,0.57744,1.19111,0.9424,0.88266,0.92318,0.62589,1.28067,0.59579,1.23985,0.0004852,0.0004852,0.0004852
54,809.434,1.24734,0.57116,1.19493,0.89034,0.91213,0.91908,0.6002,1.36222,0.61862,1.29426,0.0004753,0.0004753,0.0004753
55,824.005,1.26605,0.57511,1.1924,0.87535,0.90332,0.92461,0.6039,1.33991,0.60642,1.27933,0.0004654,0.0004654,0.0004654
56,838.35,1.25128,0.56526,1.1857,0.9425,0.90411,0.92981,0.60555,1.38573,0.61411,1.31113,0.0004555,0.0004555,0.0004555
57,852.864,1.25134,0.55747,1.17428,0.90748,0.89081,0.92421,0.62848,1.29751,0.59732,1.25912,0.0004456,0.0004456,0.0004456
58,868.164,1.24001,0.54846,1.1763,0.90493,0.91174,0.91841,0.6299,1.28864,0.58947,1.23933,0.0004357,0.0004357,0.0004357
59,883.28,1.24575,0.55854,1.18953,0.91469,0.85537,0.90806,0.59051,1.37106,0.63475,1.27823,0.0004258,0.0004258,0.0004258
60,897.791,1.25496,0.57704,1.18913,0.93479,0.87881,0.9268,0.62737,1.29038,0.61675,1.23334,0.0004159,0.0004159,0.0004159
61,912.505,1.24291,0.55671,1.18372,0.91167,0.9004,0.91641,0.62877,1.26564,0.5796,1.21676,0.000406,0.000406,0.000406
62,927.798,1.24461,0.56406,1.18123,0.9159,0.86687,0.91196,0.60349,1.34899,0.6505,1.2877,0.0003961,0.0003961,0.0003961
63,941.79,1.21871,0.55182,1.16395,0.93673,0.86658,0.92012,0.63178,1.29785,0.5911,1.25906,0.0003862,0.0003862,0.0003862
64,956.152,1.21005,0.54088,1.1606,0.90385,0.90153,0.91985,0.62303,1.29334,0.60164,1.25189,0.0003763,0.0003763,0.0003763
65,970.755,1.20359,0.54498,1.16357,0.94006,0.85293,0.91337,0.63193,1.3055,0.62484,1.2556,0.0003664,0.0003664,0.0003664
66,985.254,1.20911,0.54378,1.16283,0.88964,0.88056,0.9149,0.61377,1.33523,0.62204,1.27573,0.0003565,0.0003565,0.0003565
67,1000.74,1.22473,0.54217,1.16886,0.89149,0.88409,0.91957,0.6178,1.33474,0.6217,1.27972,0.0003466,0.0003466,0.0003466
68,1015.6,1.21604,0.54082,1.16727,0.92543,0.91007,0.91932,0.62384,1.28699,0.59368,1.24191,0.0003367,0.0003367,0.0003367
69,1029.82,1.20979,0.5354,1.16368,0.89103,0.91651,0.92559,0.62734,1.29221,0.58975,1.25852,0.0003268,0.0003268,0.0003268
70,1044.66,1.21035,0.52996,1.16839,0.90652,0.89671,0.91173,0.61483,1.30392,0.59436,1.25141,0.0003169,0.0003169,0.0003169
71,1060.28,1.17727,0.51857,1.1505,0.8699,0.90746,0.9208,0.62029,1.30525,0.63236,1.23857,0.000307,0.000307,0.000307
72,1075.93,1.18179,0.52633,1.14034,0.93498,0.89492,0.9251,0.63041,1.30403,0.60166,1.25552,0.0002971,0.0002971,0.0002971
73,1090.92,1.18267,0.51951,1.15245,0.89313,0.89913,0.92108,0.62823,1.30964,0.59779,1.26592,0.0002872,0.0002872,0.0002872
74,1105.78,1.19171,0.51962,1.15478,0.92072,0.91375,0.92337,0.63541,1.2901,0.60292,1.25237,0.0002773,0.0002773,0.0002773
